GATA3,XBP1,ER
2.254402205,2.783623397,1.0
-0.763963211,-0.335916779,0.0
2.235507484,-1.029804853,0.0
3.1731954360000003,2.618602174,1.0
2.7417644439999997,2.523032639,1.0
2.455200267,2.789665173,1.0
2.109269596,3.5428093069999997,1.0
1.360921712,2.403833361,1.0
2.972731427,2.839865891,1.0
1.7777924880000002,1.118403393,1.0
1.310385594,1.191803521,1.0
-1.311246846,-0.9177505779999999,0.0
1.686204829,2.896200827,0.0
3.863771513,3.5615351910000004,1.0
2.6318929819999997,3.828824795,1.0
2.190056385,3.135952217,1.0
0.20430397399999997,1.587647069,0.0
-1.1112160759999998,-1.597780385,0.0
1.883755584,1.81928376,1.0
2.467117921,2.6820336190000003,0.0
2.448830989,1.88667356,1.0
2.3873131919999997,1.75344618,1.0
2.126014636,2.230980635,1.0
0.152811903,1.3754538319999998,0.0
0.132587438,2.860675142,0.0
1.7932684159999999,1.5780805690000002,1.0
0.9051745590000001,-0.677053232,0.0
-1.215344929,-1.614740495,0.0
1.844055196,1.609102587,0.0
-0.092002371,1.6606029169999998,0.0
1.832465525,1.6433573190000001,1.0
-0.420486659,-1.166031424,0.0
0.322271983,1.220091529,0.0
-1.200601968,0.8508728790000001,0.0
2.9638696939999996,1.658931999,1.0
-1.8430426969999998,-0.616938519,0.0
1.538183448,0.184233182,0.0
2.146993562,1.451897625,1.0
-0.970439748,-1.258694925,0.0
3.1091698560000003,2.260844428,1.0
1.7903210969999999,0.681816599,1.0
2.001109319,2.355585278,1.0
0.002898992,0.056346835,0.0
-0.840329095,1.629376879,0.0
0.796952022,0.408243268,0.0
-1.2977109409999998,0.8118945870000001,0.0
3.462450309,0.38901930799999995,0.0
2.0241719540000003,1.385440645,1.0
-0.03380969,0.859606689,0.0
-2.157111531,-0.214556158,0.0
2.332976291,2.583856064,1.0
-0.9677589209999999,0.9332506190000001,0.0
0.285183421,2.2240277809999998,0.0
-0.40590294899999996,-0.036390333,1.0
-0.8057725640000001,-0.920597728,0.0
2.381768638,1.689079046,1.0
-0.610651691,-1.32539861,0.0
1.6341944590000002,2.145113867,1.0
-3.448127214,-0.02191908,0.0
0.573034533,1.51270904,0.0
2.396699654,1.010428226,0.0
1.2715265820000001,2.542726037,0.0
-1.287841134,0.874942445,0.0
2.548644662,2.5663123359999997,1.0
3.049168003,1.834600182,1.0
1.923456637,2.185619712,1.0
0.803589122,-0.8255948809999999,0.0
1.6311246940000002,1.9383124809999999,1.0
-0.693088035,1.875892205,0.0
0.651653323,1.02098625,0.0
-0.686938864,0.9472824990000001,0.0
-0.578742665,1.3202163120000001,0.0
1.8319961180000002,1.8872966930000001,1.0
2.277947285,2.847771184,1.0
2.563851394,1.3424464409999999,1.0
-1.152544238,1.224316207,0.0
2.586437188,2.480427772,1.0
0.277709951,0.448335741,0.0
2.342335151,2.482065881,1.0
0.115362725,-0.901148321,0.0
2.940866517,3.479567112,1.0
2.042069672,1.031113436,1.0
1.916256618,1.383401273,1.0
2.17223399,2.738272718,0.0
1.452821579,2.07714132,0.0
2.8939946489999997,2.139645642,1.0
1.158166153,0.885224971,0.0
2.2382314819999998,2.77366995,1.0
2.499096743,2.322572288,1.0
-0.7596358879999999,2.4375344180000003,0.0
0.778592383,2.755741777,0.0
1.833593877,1.233192462,0.0
1.441870745,2.530674808,1.0
0.9128579309999999,1.058015485,0.0
